Number,Company,Model Name,Problem 1,Problem 2,HIN,Disposition,Units,Boat Type,Severity,MIC,Company Official,Model Year,Case Open Date,Case Close Date,Campaign Open Date,Campaign Close Date,Last Date
120036T,YAMAHA MOTOR CORP USA,"""VXR, VXS""",ENGINE; GASOLINE,,F2M-080053-5700,Open,5734,22,L,YAM,PLC,,4/23/2012,,5/9/2012,,4/7/2022
21MF0428,Dometic,Fuel Pump,,,,Open,2526,00,,999,,,9/9/2021,,9/9/2021,,2/7/2022
22MF0034,Volvo Penta,"D8, D11, D13, D16",,,,Open,4,00,,111,,2021,2/7/2022,,2/7/2022,,2/7/2022
21CG0002,MARLON RECREATIONAL PRODUCTS,SP123,,,YKRY0364F021,Open,45,,,YKR,jlu,2021,2/7/2021,,7/6/2021,,12/6/2022
22MF0435,"BRP US, Inc.",,,,,Open,282,12,,CEC,,,,,9/6/2022,,9/6/2022
140023T,YAMAHA MOTOR CORP USA,"""AR240 , SX240, 242 LIMITED (S)""",VENTILATION,,SEE DNR,Open,205,12,H,YAM,PLC,2015,12/23/2014,,12/23/2014,,7/6/2022
170003T,YAMAHA MOTOR CORP USA,F90,ENGINE; GASOLINE,,,Open,1852,31,L,YAM,PLC,2017,,,3/31/2017,,7/6/2022
190025T,YAMAHA MOTOR CORP USA,SAT1800E/F,ENGINE SHIFT CONTROL,,,Open,398,12,H,YAM,PLC,2019,,,3/29/2019,,7/6/2022
150022S,YAMAHA MOTOR CORP USA,FSH 190,NAVIGATION LIGHTS,NAVIGATION LIGHTS,YAMC0098G516,Open,147,11,L,YAM,LEN,2016,12/24/2016,,12/24/2015,,7/6/2022
160013S,YAMAHA CORP USA,XBT1800A/B/C,ELECTRICAL SYSTEM,,,Open,106,12,L,YAM,PLC,2017,,,11/28/2016,,7/6/2022
140005T,YAMAHA MOTOR CORP USA,F4 - F70,FUEL SYSTEM,,,Open,49165,31,H,YAM,PLC,,4/1/2014,,4/1/2014,,7/6/2022
21MF0279,"SKEETER PRODUCTS,INC.",See HIN list,Other,,STE52347C121,Open,772,,,STE,,2121,5/25/2021,,5/25/2021,,7/6/2022
21MF0575,YAMAHA MOTOR CORP USA,,,,,Open,7295,,,YAM,,,11/30/2021,,,,7/6/2022
22MF0044,YAMAHA MOTOR CORP USA,Various - see Docs,,,,Open,32498,22,,YAM,jlu,2021,,,2/15/2022,,7/6/2022
190050S,HURRICANE BOATS,"""196, 198 FUNDECK""",LEVEL FLOTATION,,,Open,116,11,H,GDY,len,,10/8/2019,,11/15/2019,,6/6/2022
150005T,MERCURY MARINE,Verado 250/300,steering,,,Open,1186,31,,,EJ,,5/5/2015,,5/5/2015,,6/6/2022
22MF0187,WHITE RIVER MARINE GROUP LLC,"Targa V19, Ranger VX",,,BUJ84724G819,Open,1021,01,,BUJ,,2019,5/5/2022,,5/6/2022,,5/6/2022
22MF0188,WHITE RIVER MARINE GROUP LLC,"Targa V19, Ranger VX",,,BUJ84724G819,Open,1021,01,,BUJ,,2019,5/5/2022,,5/6/2022,,5/6/2022
160008T,YAMAHA MOTOR CORP USA,SJ700B,STEERING GRIP DETACHMENT,,,Open,310,22,L,YAM,PLC,2016,,,9/19/2016,,4/6/2022
160009T,YAMAHA MOTOR CORP USA,VARIOUS LISTED BELOW,FUEL SYSTEM,,,Open,22858,22,H,YAM,PLC,2016,,,10/17/2016,,4/6/2022
20SD0018,YAMAHA MOTOR CORP,FPT1800A,,,,Open,75,,,YAM,,,,,8/12/2020,,4/6/2022
21MF0187,YAMAHA MOTOR CORP USA,"GP1800B, VX1050, GP1",,,YAMA0921I021,Open,7526,22,,YAM,,2021,4/23/2021,,4/23/2021,,4/6/2022
22SD0001,SEA FOX BOAT COMPANY INC,,,,,Open,0,,,LYG,jlu,,3/3/2022,,,,4/6/2022
20SD0023,KAWASAKI MOTORS CORP USA,,,,,Closed,0,22,,JKA,,,10/6/2020,,10/6/2020,,1/6/2022
21CG0005,SEA PRO BOATS LLC,172 Bay,Flotation test for person,Stability test (port),SPBJH158F021,Open,229,,,SPB,jlu,2021,3/6/2021,,4/8/2021,,12/5/2022
190032T,INDMAR PRODUCTS,Supra 400 450 575 Moomba 450,ELECTRICAL,,,Open,1103,32,H,,PLC,2019,5/15/2019,,6/12/2019,,1/5/2022
22MF0523,Mercury Marine,N/A outboard compone,,,NONE,Open,20710,00,,999,,,9/22/2022,,10/3/2022,,10/3/2022
22MF0524,Mercury Marine,N/A outboard compone,,,NONE,Open,20710,00,,999,,,9/22/2022,,10/3/2022,,10/3/2022
22MF0525,Mercury Marine,N/A outboard compone,,,NONE,Open,20710,00,,999,,,9/26/2022,,10/3/2022,,10/3/2022
190046T,VEXUS BOATS,,FUEL SYSTEM,,,Closed,907,11,H,VXS,PLC,,8/23/2019,8/8/2022,8/29/2019,8/8/2022,8/3/2022
20SD0027,,,,,,Open,0,00,,111,,,12/4/2020,,12/4/2020,,5/3/2022
21MF0212,Lippert,,,,,Open,4142,00,,999,,,4/29/2021,,4/29/2021,,2/3/2022
22MF0350,YAMAHA MOTOR CORP USA,,,,,Open,32498,,,YAM,jlu,,8/1/2022,,8/1/2022,,8/1/2022
190022T,MERCURY MARINE,"""V-8 200-300, V-6 175-225, V8 25",ENGINE; GASOLINE,,2B588807,Open,10217,31,,,eaj,,3/4/2019,,3/4/2019,,6/1/2022
21DL0938,PARKS MANUFACTURING LLC,1900 STL,Manufacturer has calculat,,PWV17521D121,Closed,427,01,,PWV,,2021,5/18/2021,3/1/2022,8/5/2021,3/1/2022,3/1/2022
190029T,PELICAN INTERNATIONAL INC,KRP13P109-130 HYDRIVE,BASIC FLOTATION,,ZEP31980D919,Closed,500,15,M,ZEP,LEN,2019,4/23/2019,6/8/2021,4/23/2019,,6/8/2021
190035T,DOMETIC,,FUEL SYSTEM,,,Closed,4558,12,H,,PLC,,6/3/2019,2/8/2022,6/5/2019,2/8/2022,2/8/2021
200001T,DOMETIC,QI AUTO,,,118-8861,Open,619,32,H,,LEN,,1/2/2020,,1/2/2020,,7/7/2021
21MF0381,RANGER BOATS,Ranger 622,Tank moves less than ¼” i,,RGR24693G920,Open,252,01,,RGR,,2021,8/6/2021,,8/6/2021,,8/6/2021
160011S,BOSTON WHALER,315 CQ/ 315PH,ELECTRICAL SYSTEM,,,Closed,161,11,H,BWC,PLC,,,7/6/2021,11/8/2016,,7/6/2021
160006S,BOSTON WHALER INC,345CQT 345PH,ELECTRICAL SYSTEM,,,Closed,82,11,H,BWC,EAJ,,,,11/8/2016,7/6/2021,7/6/2021
20SD0020,MASTER CRAFT BOAT HOLDINGS,,Quantity of flotation app,,,Open,0,12,,JNT,jlu,,8/28/2020,,8/24/2020,,6/6/2021
170013T,COBALT BOATS LLC (DBS),CS1 bowrider,ELECTRICAL SYSTEM,,C1001L617,Open,62,,L,FGE,LEN,2017,8/2/2017,,,,10/5/2021
180015T,MALIBU BOATS INC,ALL EXCEPT TXI RESPONSE,ELECTRICAL SYSTEM,,,Open,2937,12,H,MB2,PLC,2016,9/10/2018,,9/12/2018,,8/5/2021
19X047AS,BOSTON WHALER INC,190OR,SAFE LOADING MAX WT,,BWCE1053K819,Open,20,11,L,BWC,PLC,2019,1/31/2019,,3/29/2019,,8/5/2021
190026S,SEA RAY BOATS,SXO400,ELECTRICAL SYSTEM,,,Closed,14,11,L,SER,PLC,2019,,7/6/2021,4/8/2019,,5/5/2021
12V250,THUNDER JET BOATS,162/182V ECO,LEVEL FLOTATION,,AHQ10118E212,Closed,1,11,L,AHQ,PLC,2012,6/19/2012,6/13/2022,7/6/2020,,3/5/2021
21MF0577,SEA HUNT BOAT MFG CO INC,"Ultra, BX, GameFish,",,,SXSM0266G122,Open,356,,,SXS,,2022,11/30/2021,,12/3/2021,,12/3/2021
21DL0926,MASTER CRAFT BOAT HOLDINGS,191 HYBRID,Manufacturer has calculat,,JNT33887B121,Open,1638,01,,JNT,jlu,2021,5/18/2021,,8/12/2021,,11/3/2021
020129T,AMERICAN HONDA MOTOR CO INC,ARX1200T3 AND ARX1200N3,ENGINE; THROTTLE BODY,CORROSION,,Closed,5037,17,H,HPS,WAC,2002,7/8/2002,,7/8/2002,,11/2/2021
12R4760S,SHOCKWAVE CUSTOM BOATS,'25 TREMOR' IB POWERED BOAT,VENTILATION,VENTILATION,SKG25792H112,Closed,0,12,L,SKG,LEN,2012,7/10/2012,,7/10/2012,,11/2/2021
100024T,KAWASAKI MOTORS CORP,JT1500A9F & JT1500D9F,ENGINE; GASOLINE,,,Closed,1615,17,L,KAW,WAC,9,,,10/26/2010,,11/2/2021
11R4302S,MACKIE'S HOUSEBOAT PTS & REPR,'1556 CUSTOM' IB HOUSEBOAT,VENTILATION,FUEL SYSTEM,OMQMHB18H111,Closed,0,19,H,OMQ,LEN,2011,6/15/2011,,7/6/2011,,11/2/2021
13R5094S,ESSEX PERFORMANCE BOATS,'24 Valor' ib powered boat,VENTILATION,VENTILATION,MAPVR877B313,Closed,0,12,M,MAP,LEN,2013,6/19/2013,,7/20/2013,,11/2/2021
18CG126S,MARLON RECREATIONAL PRODUCTS,SP 14 JON,LABEL; CERTIFICATION,HULL ID NUMBER,YKR-00863H718,Closed,13,11,L,YKR,PLC,2018,4/16/2018,3/1/2022,4/24/2019,3/1/2022,3/1/2021
180013S,Marquis-Larson,Larson LXH and LX various sizes,VENTILATION,,IJLUD001F718,Open,36,13,,IJL,EAJ,2018,8/10/2018,,8/10/2018,,8/11/2020
17CG088S,RECREATION UNLIMITED LLC,CARAVELLE 17 EBO,LEVEL FLOTATION,LABEL; CAPACITY,REC23763H516,Closed,,11,H,REC,PLC,2016,3/1/2017,,4/1/2017,2/11/2020,2/11/2020
150002T,JL AUDIO,,SPEAKER MOUNTING BRACKET,,,Closed,5728,11,L,HQZ,PLC,,3/20/2015,,4/23/2015,2/11/2020,2/11/2020
170017T,TOHATSU AMERICA CORP,BFT115 TO BFT250,FUEL SYSTEM,,,Closed,130,31,L,TAC,PLC,,,,11/15/2017,2/11/2020,2/11/2020
19R6078S,BRYANT BOATS INC,�Calandra C7� sterndrive,VENTILATION,,BRA27C03E920,Closed,8,13,L,BRA,PLC,2020,11/1/2019,,1/17/2020,2/11/2020,2/11/2020
15CG043S,EXCEL BOAT CO LLC,1754SWV4,LABEL; CAPACITY,HULL ID NUMBER,XCL03459F516,Closed,299,11,L,XCL,PLC,2016,11/12/2015,,8/18/2016,2/11/2020,2/11/2020
16CG079S,PHOWLER BOAT COMPANY,1850 LIGHT JON,BASIC FLOTATION,,PHO8502K516,Closed,5,11,l,PHO,PLC,2016,12/2/2016,,5/2/2017,2/11/2020,2/11/2020
170010T,PLEASURECRAFT ENGINE GROUP,"""6.0 L, 6.0L HO""",ELECTRICAL SYSTEM,,,Open,1635,32,H,PCM,PLC,,,,6/19/2017,,2/11/2020
190036T,MALIBU BOATS INC,,FUEL SYSTEM,,,Closed,3143,12,H,MB2,PLC,,6/3/2019,,6/4/2019,2/11/2020,2/11/2020
20SD0010,THUNDER JET BOATS,176 TO 180 ECOJET,BASIC FLOTATION,,AHQ10037B212,Open,123,11,M,AHQ,LEN,2012,6/23/2020,,7/7/2020,,12/10/2020
150011T,G3 BOATS,DEEP VEE,DECK HINGE FAILURE,,,Closed,,11,L,GEN,PLC,,7/8/2015,,7/8/2015,2/10/2020,2/10/2020
19CG158S,FISH-RITE BOATS,SVW 15,SAFE LOADING MAX WT,LEVEL FLOTATION,FIS00298H718,Closed,4,11,L,FIS,PLC,2018,3/1/2019,,10/15/2019,2/10/2020,2/10/2020
14CG010,RHINO ROTO MOLDING,BEAVERTAIL STEALTH 2000,,,VRHT5186L415,Closed,4684,11,l,VRH,PLC,2015,1/7/2015,,3/17/2015,2/10/2020,2/10/2020
14CG008,CUSTOM FIBERGLASS PROD INC,C HAWK 18 CC,LEVEL FLOTATION,,CFPC0053I415,Closed,25,11,H,CFP,PLC,,10/15/2014,,12/17/2014,2/10/2020,2/10/2020
18CG132S,CAROLINA SKIFF LLC,JV 13 TILLER,SAFE LOADING MAX WT,LEVEL FLOTATION,EKH0M487I617,Closed,118,11,l,EKH,PLC,2017,5/21/2018,,8/18/2018,2/10/2020,2/10/2020
18CG133S,TUFFY BOATS,ESOX ROUSTABOUT,LEVEL FLOTATION,,TUFFYD01D818,Closed,7,11,L,TUF,PLC,2018,5/29/2018,,4/1/2019,2/10/2020,2/10/2020
150019T,Pelican International,KRJ 12 and 14,,,ZEP23481E313,Closed,1020,15,,zep,eaj,,12/21/2015,4/21/2019,12/21/2015,4/21/2019,1/10/2020
090050S,BOSTON WHALER INC,180 DAUNTLESS,SAFE LOADING MAX WT,SAFE LOADING PERSONS,SEE BELOW,Closed,36,11,L,,LEN,,10/7/2009,11/9/2020,11/6/2009,,11/9/2020
180011S,Tracker,PT195,,,BUJ30328E818,Open,1242,11,M,BUJ,LEN,,6/5/2018,,,,6/9/2020
16CG064S,B&B BOATS,Mosquito Bay Skiff /Buzzlite XTR,,,BFA17M27I616,Closed,0,11,l,BFA,PLC,2016,7/28/2016,7/26/2020,8/1/2017,7/26/2020,12/8/2020
180001T,YAMAHA MOTOR CORP,"""AR190, SX190, AR195, AND SX195""",FUEL SYSTEM,,,Closed,60,12,H,YAM,PLC,2018,,7/7/2020,2/8/2018,,2/7/2020
15R5639S,STARCRAFT MARINE,Limited 2000,,,STR39845G516,Closed,0,12,l,STR,EAJ,2016,9/21/2015,7/6/2021,2/29/2016,7/6/2021,8/6/2020
170007S,WELDBILT COMMERCIAL,,HULL ID NUMBER,LEVEL FLOTATION,,Closed,1800,,,WDB,LEN,,5/19/2017,,5/19/2017,7/16/2019,8/6/2020
100016T,YAMAHA MOTOR CORP,"""AR240 HO, SX240 HO, 242 LTD""",DYNAMIC INSTABILITY,,YAMC1101F910,Closed,775,17,H,YAM,LEN,2010,6/28/2010,5/6/2020,6/28/2010,,5/6/2020
120043T,UFLEX USA INC,X-66 TILT STEERING ASSY,STEERING,,,Closed,1756,50,H,HQZ,PLC,2012,7/12/2012,,7/12/2012,2/6/2020,2/6/2020
16CG083S,WELDBILT COMMERCIAL BOATS,1548V,SAFE LOADING MAX WT,LABEL; CAPACITY,WDB26718F616,Closed,10,11,l,WDB,PLC,2016,1/4/2017,9/18/2018,2/11/2019,7/16/2019,11/5/2020
11P053S,WELDBILT COMMERCIAL BOATS,1752,SAFE LOADING MAX WT,LEVEL FLOTATION,WDB22974D010,Closed,8,11,H,WDB,PLC,2010,8/10/2011,,11/9/2016,7/15/2019,11/5/2020
20SD0009,TRITON BOATS,18 TRX 189 TRX 19 TRX,LEVEL FLOTATION,,,Open,657,11,H,TRT,PLC,,,,6/5/2020,,6/5/2020
20SD0024,MASTER CRAFT,,Each fuel line from tank,,,Open,0,12,,XRT,,,10/7/2020,,,,11/3/2020
100023T,CUMMINS MERCRUISER DIESEL,QSM11,,,,Closed,5311,32,M,HQZ,eaj,,9/21/2010,12/8/2020,9/21/2010,12/8/2020,12/2/2020
100022T,MERCURY MARINE,MERCRSR ALPHA & BRAVO STRNDRV,IM SHIFT CABLE SEPARATION,,,Closed,12787,31,L,,EAJ,2010,9/21/2010,12/8/2020,9/21/2010,12/8/2020,12/2/2020
11R4294S,CARAVELLE POWERBOATS,'202 BR' IB POWERED BOAT,ELECTRICAL,,SRR21585D112,Open,1,12,L,SRR,LEN,2012,6/6/2011,,,,12/12/2019
180023T,Thunder Jet Boats,"""T186RS, SARS18""",Steering interference,,,Open,11,17,,THV,eaj,2018,12/19/2018,,12/19/2018,,3/12/2019
17CG098S,Rhino Marine Inc,16 Wide Jon,,,EDMJS659J617,Closed,30,11,l,EDM,PLC,2017,6/5/2017,,7/24/2017,8/8/2019,8/8/2019
18R5970S,HARBOR COTTAGE LLC,�84x16� houseboat,ELECTRICAL SYSTEM,LABEL; CERTIFICATION,HCO00002D717,Open,3,19,L,HCO,LEN,2018,7/10/2018,,,,4/8/2019
080047T,KAWASAKI MOTORS CORP USA,VARIOUS,ENGINE; GASOLINE,,,Closed,21140,17,H,KAW,LEN,,12/18/2008,,12/18/2008,5/7/2019,5/7/2019
17CG100S,STINGRAY BOAT COMPANY,182 SC,LEVEL FLOTATION,LABEL; CERTIFICATION,PNYUSDS0D617,Closed,356,11,H,PNY,PLC,2017,6/26/2017,,8/9/2017,9/6/2019,9/6/2019
17CG114s,K L INDUSTRIES,Electric Pedal Boat,SAFE LOADING MAX WT,LABEL; CAPACITY,JOK00193D717,Closed,2515,18,L,JOK,PLC,,11/9/2017,,6/14/2018,6/5/2019,6/5/2019
10R3848S,BIC SPORT NORTH AMERICA INC,'SPORTYAK' ROWBOAT,LABEL; CAPACITY,HULL ID NUMBER,BICK2471I909,Closed,1,15,l,BIC,PLC,2009,5/26/2010,7/15/2019,12/9/2010,7/5/2019,3/4/2019
14CG004,CAROLINA SKIFF LLC,CAROLINA SKIFF 17 DLX,SAFE LOADING MAX WT,,EKHD7376A414,Closed,351,11,H,EKH,PLC,2014,9/5/2014,,12/18/2014,6/3/2019,6/3/2019
180009S,HEY DAY,WT-SURF,ELECTRICAL SYSTEM,FUEL SYSTEM,WTXX1112B818,Open,20,12,H,WTX,LEN,2018,5/8/2018,,5/8/2018,,4/2/2019
16CG052S,RECREATION UNLIMITED LLC,16 EBO,LEVEL FLOTATION,LABEL; CAPACITY,REC23344I415,Closed,48,11,H,REC,PLC,2016,2/10/2016,3/4/2019,5/25/2017,3/4/2019,1/2/2019
17D208CS,ALUMA-WELD INC,�X 24 Bay� outboard; XP180,LABEL; CERTIFICATION,HULL ID NUMBER,JBC91864H718,Closed,10,31,L,JBC,LEN,2018,12/11/2017,12/21/2017,9/12/2018,,9/12/2018
180002S,TACO METALS,#F38-6600,NAVIGATION LIGHTS,,,Open,18000,,M,,WH,,2/23/2018,,3/12/2018,,3/12/2018
16CG054S,RIGID BOAT CO INC,12' Fiberglass Fish,SAFE LOADING MAX WT,LEVEL FLOTATION,WZXXF130L515,Closed,14,11,,WZX,PLC,2015,3/2/2016,,11/15/2017,7/11/2018,7/11/2018
16CG066S,Northport Marine,F-4602 12� ALUMINUM VEE FISH,,,MRR81858E515,Closed,,11,l,MRR,PLC,2015,8/12/2016,9/10/2018,,,9/10/2018
17CG119S,BEETLE INC (BTH),12' ONSET ISLAND SKIFF,LEVEL FLOTATION,HULL ID NUMBER,BTH12026F717,Closed,23,11,h,BTH,PLC,2017,12/18/2017,,1/12/2018,11/8/2018,11/8/2018
180000T,33rd strike group,PONTOON BOAT,BIMINI FAILURE,HULL ID NUMBER,ESGP00105A516,Closed,60,21,L,ESG,LEN,,2/5/2018,3/11/2020,3/8/2018,3/11/2020,3/8/2018
170004T,BOSTON WHALER INC,420 OR,VENTILATION,,,Closed,39,11,L,BWC,PLC,,,7/3/2018,3/31/2017,7/3/2018,7/3/2018
170015T,LEXINGTON MARINE GROUP,,BIMINI TOP FAILURE,,LMLP0047XXXX,Closed,520,21,L,LML,LEN,,4/29/2017,,,,5/1/2018
17CG113S,FOUR SONS,COASTAL SKIFF 184,SAFE LOADING MAX WT,,DXV18450I718,Closed,3,11,L,DXV,PLC,2018,10/30/2017,,12/11/2017,12/11/2017,12/11/2017
160001S,,H5/H6,START IN GEAR,,565000,Closed,828,32,M,PCM,LEN,,2/10/2016,,2/10/2016,8/16/2018,5/10/2017
110001S,MALIBU BOATS,RESPONSE LX,BASIC FLOTATION,,,Closed,31,12,H,MB2,PLC,2010,1/3/2011,,1/12/2011,4/10/2017,4/10/2017
11R4395S,ELIMINATOR BOATS INC,'30 DAYTONA' INBOARD POWERED BOA,FUEL SYSTEM,VENTILATION,ELBD0107F910,Closed,,12,H,ELB,LEN,2010,8/22/2011,9/6/2017,,9/13/2017,9/6/2017
140008T,SEAFOX,"""TRAVELER, COMMANDER, AVENGER""",SAFE LOADING PERSONS,,LYGTR100L314,Closed,721,11,L,LYG,LEN,14,5/20/2014,6/16/2017,,,6/6/2017
100012S,BAYLINER,"""195BR, 215BR, AND 197SD""",NAVIGATION LIGHTS,,,Closed,40,12,L,BLB,RAB,2010,5/18/2010,2/25/2016,5/18/2010,,4/12/2016
140003T,SUZUKI MOTOR OF AMERICA,DF250AP & DF300AP,START IN GEAR,,,Closed,329,11,M,JPN,LEN,,1/10/2014,2/9/2016,1/10/2014,,2/9/2016
12R4868S,TIGE BOATS INC,RZR R20 Z1 23' IB BOAT,ELECTRICAL SYSTEM,,TIX0232AJ213,Closed,,13,L,TIX,LEN,2013,12/7/2012,,12/7/2012,11/26/2016,11/8/2016
150014T,LIVINGSTON CAT BOATS,LV14,BACK FLOODING,,,Open,208,14,H,HCT,WH,,8/19/2015,,3/7/2016,,3/7/2016
080036T,MASTERCRAFT BOAT CO LLC,MARISTAR 280 AND X-80,FUEL SYSTEM,,SEE COMMENTS,Closed,505,11,H,MBC,LEN,,9/23/2008,1/9/2016,10/29/2008,,1/6/2016
140011T,FINELINE IND INC,CENTURION ENZO,DYNAMIC INSTABILITY,,FINE9523D415,Closed,7,12,H,FIN,LEN,2014,6/25/2014,,6/10/2014,6/15/2015,6/11/2015
13R4949S,EPIC BOATS,'23v' ib powered boat,VENTILATION,,US-GQE23028K213,Closed,1,12,L,GQE,LEN,2013,3/19/2013,,8/7/2015,,8/3/2015
100014T,PLEASURECRAFT ENGINE GROUP,,FUEL SYSTEM,,SN485186-495957,Closed,48,,H,PCM,PLC,,5/24/2010,,6/7/2010,10/8/2014,10/8/2014
110044T,YAMAHA MOTOR CORP,"""F2.5MSH, F4AMHA/LMHA, F6MHA/LMH",FUEL SYSTEM,,69MS-1062991,Closed,2454,31,M,YAM,PLC,2010,10/31/2011,,12/14/2011,4/8/2014,4/8/2014
080030T,PLEASURECRAFT ENGINE GROUP,,ENGINE SHIFT CONTROL,,,Closed,785,,L,PCM,PLC,2008,,,8/8/2008,11/30/2009,10/7/2014
10R3776S,OUTERLIMITS OFFSHORE POWERBOA,40 SL INBOARD GAS POWERED,VENTILATION,ELECTRICAL SYSTEM,OPL44103H910,Closed,,12,L,OPL,EJ,2010,3/22/2010,11/3/2014,3/11/2010,6/16/2014,11/3/2014
110041T,GODFREY MARINE COMPANY,SS 188 IO,VENTILATION,,,Closed,64,13,,GDY,EAJ,2011,10/7/2011,,10/7/2011,1/11/2013,1/11/2013
09R3332S,NORTHERN WATERS IND LTD,"""""""PHANTOM"""" 13'8"""" OUTBOARD""",FLOTATION DATA,CAPACITY DATA,GZZC0025E909,Closed,5,11,,GZZ,,2009,6/2/2009,8/8/2013,,,8/8/2013
100021T,RANGER BOATS LLC,"""Z520, Z521, Z522, 621VS, 620VS""",ELECTRICAL,,"""END F,G,H011""",Closed,103,11,H,RGR,,2011,,,9/16/2010,6/24/2013,5/8/2013
11R4563S,TOWEE BOATS,'RIVERMASTER 16' OB POWERED BOAT,SAFE LOADING PERSONS,HULL ID NUMBER,TOEA1010D111,Closed,,11,L,TOE,LEN,2011,12/7/2011,8/7/2013,,8/7/2013,8/7/2013
11R4200S,WELDCRAFT MARINE SERVICES,'240 CUDDY KING' OB POWERED BOAT,VENTILATION,,WCD01606A11,Closed,1,11,L,WCD,EJ,2011,1/12/2011,8/6/2013,3/1/2011,8/6/2013,8/5/2013
090044T,KAWASAKI MOTORS CORP USA,JT1500 JET SKI STX-15,CRACKING FUEL TANK,,,Closed,4187,17,H,KAW,LEN,2008,8/18/2009,,8/18/2009,5/7/2019,6/5/2013
090010T,KAWASAKI MOTORS CORP USA,JT1500A JT1500D JS800A,ENGINE; GASOLINE,,,Closed,302,22,L,KAW,WAC,2009,,,3/11/2009,5/7/2019,6/5/2013
090045T,KAWASAKI MOTORS CORP USA,JT900E AND JT1200C,BALL PLUG OF FUEL TAP,COULD FALL OUT,,Closed,846,17,L,KAW,WAC,2005,,,9/10/2009,5/7/2019,6/5/2013
13R5211S,"""ALLIED BOAT WORKS, LLC""",'Sportsman' ob powered boat,LABEL; CAPACITY,LEVEL FLOTATION,ABW17001B313,Closed,,11,L,ABW,PLC,2013,8/13/2013,,9/18/2013,12/3/2013,12/3/2013
110031T,VOLVO PENTA OF THE AMERICAS,VOLVO 8.1L,ENGINE; GASOLINE,,,Closed,850,,,HQZ,EAJ,2011,7/13/2011,1/2/2013,7/13/2011,1/12/2013,1/2/2013
07V163S,MALLARD MARINE,FIRST GENERATION MARSH RAT,SAFE LOADING MAX WT,LEVEL FLOTATION,OYN10199K706,Closed,178,13,L,OYN,RAB,2007,10/31/2007,9/1/2013,10/31/2007,9/1/2013,9/1/2013
031012T,SEA RAY BOATS INC,185 SPORT BR & 180OB,LEVEL FLOTATION,BASIC FLOTATION,US-SERRB152F404,Closed,1941,11,H,SER,LEN,,11/15/2004,,11/5/2004,4/12/2013,2/1/2013
100004T,VOLVO PENTA OF AMERICAS,"""3.0 GLP-J, 4.3 GL-J, 4.3 GL-F""",ENGINE; GASOLINE,,,Closed,,,H,HQZ,LEN,,1/14/2010,,1/14/2010,9/11/2012,9/11/2012
11R4295S,CARAVELLE POWERBOATS,'232 BR' IB POWERED BOAT,ELECTRICAL,,SRR21589D112,Closed,4,12,,SRR,LEN,2012,6/6/2011,2/9/2012,,2/9/2012,2/9/2012
110029T,PERKO INC,0540 0580 0582 1319,FUEL SYSTEM,,,Closed,3548,,H,HQZ,PLC,2011,6/2/2011,,6/2/2011,7/15/2019,4/8/2012
06P028S,LEGEND BOATS LTD,LE 186,LEVEL FLOTATION,,LJE01175G506,Closed,38,11,L,LJE,DRG,2006,11/7/2006,7/2/2012,3/12/2007,7/2/2012,7/2/2012
080001T,MASTERCRAFT BOAT CO LLC,MARISTAR 245 & X-45,STEERING WEAR,,SEE COMMENTS,Closed,410,12,H,MBC,LEN,,1/9/2008,,2/1/2008,8/9/2011,8/9/2011
060090T,MERCURY MARINE,GM 8.1 L ENGINE,ENGINE; GASOLINE,,,Closed,9529,13,H,GAH,PLC,,10/10/2006,,10/10/2006,11/8/2011,11/8/2011
080011T,TRACKER MARINE GROUP L.P.,TAHOE 215I - 216I,ADAPTER HARNESS CLAMP,,SEE COMMENTS,Closed,726,13,L,BUJ,RAB,,3/6/2008,,3/6/2008,6/7/2011,6/7/2011
080027S,KENNER BOATS,MAKO 181ST,LABEL; CAPACITY,,VARIOUS,Closed,32,11,H,KEN,RAB,,6/6/2008,,6/6/2008,5/6/2011,5/6/2011
080028T,BAYLINER MARINE,205NBR,SEAT PEDESTAL BASE MOUNT,,VARIOUS,Closed,384,13,M,USH,RAB,2008,6/20/2008,,6/20/2008,4/6/2011,4/6/2011
070026T,G3 BOATS,VARIOUS,HULL; CRACKS,,,Closed,2306,11,L,GEN,RAB,,6/25/2007,,7/25/2007,4/6/2011,4/6/2011
100019T,PARKER HANNIFIN,,LPG SOLENOID VALVE LEAK,,,CLOSED,225,58,H,,PLC,,8/12/2010,,9/8/2010,7/15/2019,4/6/2011
070033T,US MARINE,185 BR,SEAT PEDESTALS,IMPROPERLY INSTALLED,,Closed,2270,11,L,BBB,RAB,,8/20/2007,,8/20/2007,4/6/2011,4/6/2011
080032T,BAYLINER,285 AND 300SB,GENERATOR WIRING,,VARIOUS,Closed,20,13,L,USD,RAB,,8/27/2008,,12/11/2008,4/6/2011,4/6/2011
07R2029S,CIGARETTE RACING TEAM LLC,39 TOP GUN INBOARD,FUEL SYSTEM,LABEL; CERTIFICATION,US-CRTUSU10A707,Closed,20,12,L,CRT,PLC,2007,3/5/2007,,7/19/2007,4/6/2011,4/6/2011
11R4199S,HELLS CANYON MARINE LLC,'GRANITE HD' IB POWERED BOAT,ENGINE; GASOLINE,FUEL SYSTEM,HXJ00156J011,Closed,,11,L,HXJ,EJ,2011,1/11/2011,,4/14/2011,8/4/2011,8/4/2011
